Korean,hanja_word_with_x,English_1,English_2,differing_English
맛없다,X,untasty,untasty,False
말하기,X,speaking,speaking,False
말레이시아,X,Malaysia,Malaysia,False
많이,X,a lot,a lot,False
많이,X,many much,many much,False
많다,X,many / much,many / much,False
만지다,X,to touch,to touch,False
만들다,X,to make,to make,False
만나다,X,to meet,to meet,False
마드리드,X,Madrid,Madrid,False
로마,X,Rome,Rome,False
런던,X,London,London,False
똑똑하다,X,smart,smart,False
또,X,again / once more,again / once more,False
땀,X,sweat,sweat,False
딸,X,daughter,daughter,False
따뜻하다,X,warm,warm,False
등산,登山,mountain climbing / hiking,mountain climbing / hiking,False
들어가다,X,to go in to enter,to go in to enter,False
들다,X,to be contained,to be contained,False
드시다,X,to eat (honorific),to eat (honorific),False
드라마,X,drama (TV series),drama (TV series),False
뒷사람,X,person behind,person behind,False
뒤,X,behind,behind,False
둘,X,two,two,False
두,X,two (when modifying a counting unit that follows),two (when modifying a counting unit that follows),False
동생,同生,younger brother or sister,younger brother or sister,False
돈,X,money,money,False
독일,獨逸,Germany,Germany,False
도쿄,X,Tokyo,Tokyo,False
도착하다,X,to arrive,to arrive,False
도와주다,X,to help,to help,False
도서관,圖書館,library,library,False
덥다,X,hot,hot,False
더,X,more,more,False
대학생,大學生,college student,college student,False
담배,X,cigarette,cigarette,False
달리다,X,to run,to run,False
달러,X,dollar,dollar,False
달,X,month,month,False
닫다,X,to close,to close,False
다치다,X,to be hurt,to be hurt,False
다이어트,X,diet,diet,False
다음,X,next,next,False
다섯,X,five,five,False
다리,X,leg,leg,False
다른,X,other,other,False
다니다,X,to go to (a company) / to work for,to go to (a company) / to work for,False
늦다,X,to be late,to be late,False
뉴욕,X,New York,New York,False
뉴스,X,news,news,False
눈사람,X,snowman,snowman,False
누나,X,elder sister from a male perspective,elder sister from a male perspective,False
누구,X,who,who,False
누가,X,who,who,False
높다,X,high,high,False
녹차,綠茶,green tea,green tea,False
녹색,綠色,green,green,False
노래하다,X,to sing,to sing,False
노란색,X,yellow,yellow,False
년,X,year,year,False
넷,X,four,four,False
네,X,four (when modifying a counting unit that follows),four (when modifying a counting unit that follows),False
넘어지다,X,fall down,fall down,False
너무,X,too,too,False
냉장고,冷藏庫,refrigerator,refrigerator,False
냉면,冷麵,naengmyeon,naengmyeon,False
내일,來日,tomorrow,tomorrow,False
내리다,X,to get off,to get off,False
내다,X,to pay,to pay,False
내,X,my,my,False
낮다,X,low,low,False
남편,男便,husband,husband,False
남자,男子,man male,man male,False
남동생,X,younger brother,younger brother,False
날씨,X,weather,weather,False
나중에,X,"later, next time","later, next time",False
나쁘다,X,bad,bad,False
나다,X,to have (a fever/a runny nose),to have (a fever/a runny nose),False
끝내다,X,to finish,to finish,False
끝나다,X,to be finished,to be finished,False
꽃,X,flower,flower,False
깎다,X,to discount,to discount,False
까만색,X,black,black,False
김치,X,kimchi,kimchi,False
김밥,X,gimbap,gimbap,False
길다,X,long,long,False
길,X,road / way,road / way,False
기타,其他,guitar,guitar,False
기침,X,cough,cough,False
기차표,X,train ticket,train ticket,False
기차,汽車,train,train,False
기자,記者,reporter,reporter,False
기숙사,寄宿舍,dormitory,dormitory,False
기분,氣分,feeling,feeling,False
기다리다,X,to wait,to wait,False
금요일,金曜日,Friday,Friday,False
극장,劇場,movie theater,movie theater,False
그분,X,that person (honorific),that person (honorific),False
그림,X,picture / drawing,picture / drawing,False
그리다,X,to draw to paint,to draw to paint,False
그리고,X,and,and,False
그렇지만,X,but,but,False
그럼,X,then / in that case,then / in that case,False
그런데,X,but/ by the way,but/ by the way,False
그래서,X,so,so,False
그거,X,that (one),that (one),False
그,X,that,that,False
귀,X,ear,ear,False
국적,國籍,nationality,nationality,False
구월,九月,September,September,False
구두,口頭,dress shoes,dress shoes,False
구,X,nine,nine,False
교실,敎室,classroom,classroom,False
괜찮다,X,alright,alright,False
과일,X,fruit,fruit,False
공항,空港,airport,airport,False
공책,空冊,notebook,notebook,False
공원,工員,park,park,False
공원,公園,park,park,False
공부하다,X,to study,to study,False
공부,工夫,study / learning,study / learning,False
공,X,zero,zero,False
고민,苦悶,agony / worry,agony / worry,False
고등학생,高等學生,high school student,high school student,False
고기,X,meat,meat,False
계시다,X,to be/to stay (honorific),to be/to stay (honorific),False
결혼하다,X,to marry,to marry,False
결혼,結婚,marriage,marriage,False
걸리다,X,to take (time),to take (time),False
걷다,X,to walk,to walk,False
건강,健康,health,health,False
걱정,X,worry / concern,worry / concern,False
개,X,counting unit for general items,counting unit for general items,False
같이,X,together,together,False
감기,感氣,cold,cold,False
갈아타다,X,to transfer,to transfer,False
갈색,褐色,brown,brown,False
간호사,看護師,nurse,nurse,False
가족,家族,family,family,False
가방,街坊,bag,bag,False
가르치다,X,to teach,to teach,False
가다,X,to go,to go,False
가게,X,store / shop,store / shop,False
